,MAE,RMSE,R2,Features
143,81.23313350790528,114.06577024165674,-0.7395474680000518,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged', 'ST_min_lagged']"
144,80.68448323223942,113.77768045005291,-0.7307716010966787,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged', 'ST_min_lagged']"
145,80.33453514575038,113.46915126963583,-0.7213977145762291,"['Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged', 'ST_min_lagged']"
146,80.93390183632155,113.97449094219151,-0.7367644921522156,"['Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged', 'ST_min_lagged']"
147,83.74999363229145,115.71627957323531,-0.7902535077544015,"['Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged', 'ST_min_lagged']"
148,84.43992953955015,116.34142433259694,-0.8096490620143959,"['Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged', 'ST_min_lagged']"
149,85.6084847359968,117.04631717711646,-0.8316442031247826,"['SSM_lagged', 'ST_lagged', 'ST_max_lagged', 'ST_min_lagged']"
150,83.85347791637928,118.93119645224645,-0.8911117151855592,"['ST_lagged', 'ST_max_lagged', 'ST_min_lagged']"
151,84.11280545316076,119.77043781044465,-0.9178952491444001,"['ST_max_lagged', 'ST_min_lagged']"
152,80.61891555829851,116.45954717479263,-0.8133256442602397,['ST_min_lagged']
153,77.38408239554785,109.90721544780507,-0.6150204246304039,"['Trees', 'Built Area', 'POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged', 'ST_min_lagged', 'ST_percentile_90_lagged']"
154,78.48024789229592,111.12428517818267,-0.6509866815816896,"['Built Area', 'POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged', 'ST_min_lagged', 'ST_percentile_90_lagged']"
155,78.14035162490913,110.78858459796558,-0.6410266620331984,"['POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged', 'ST_min_lagged', 'ST_percentile_90_lagged']"
