,MAE,Accuracy,Tree Depth,Number of Trees,Predictor,Features
2336,72.13762120840077,59.72655846457333,10,96,NO2,"['Maize', 'Soybean', 'Cotton']"
2337,72.13922069136676,59.70588719680667,8,128,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2338,72.16417554665541,59.65516773261403,10,96,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2339,72.1699740034859,59.689808035618476,8,96,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2340,72.18654734151956,59.69633943945756,9,128,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2341,72.19541904369224,59.84377381250958,11,128,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2342,72.19862869727648,59.62644769424992,10,64,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2343,72.20156886857588,59.656838484273315,8,64,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2344,72.20739663216588,59.8632337150904,9,128,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2345,72.2203784587618,59.648588621996076,11,128,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2346,72.2268956104555,59.672137108799106,9,96,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2347,72.23402538654709,59.854681571729316,10,64,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton']"
2348,72.23984294425192,59.79365657012593,10,64,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2349,72.24133693418284,59.63353830219599,11,96,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2350,72.24308554168434,59.888859186422714,11,128,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton']"
2351,72.2678149197895,59.62975984703554,9,64,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2352,72.27116878880575,59.79695590108126,8,64,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2353,72.27225869669323,59.6437568653486,10,64,NO2,"['Maize', 'Soybean', 'Cotton']"
2354,72.29277974475926,59.79264199209205,11,96,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2355,72.30489105355056,59.662417138412046,11,128,NO2,"['Maize', 'Soybean', 'Cotton']"
2356,72.30923214331618,59.80439633003671,9,96,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2357,72.31399722790276,59.828406245403876,10,128,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2358,72.31681055857418,59.58575071645002,11,64,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2359,72.31897639171311,59.86338586919477,11,96,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton']"
2360,72.33466808727775,59.64172975117714,11,96,NO2,"['Maize', 'Soybean', 'Cotton']"
2361,72.35742291523295,59.62459954489854,10,128,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2362,72.36239505501932,59.77413565964501,4,64,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton']"
2363,72.37806665195237,59.764455862816725,4,64,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2364,72.38880995254445,59.60154875440299,10,96,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2365,72.39224654184726,59.75622649810421,4,64,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2366,72.39387061569737,59.77036101867124,4,128,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2367,72.39606405604557,59.775146974450784,4,96,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2368,72.40140733344931,59.77311014955509,4,96,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton']"
2369,72.40797027337716,59.792513015586415,11,64,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton']"
2370,72.40917405494211,59.7679412666266,4,96,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2371,72.41158357066067,59.76246669490829,4,128,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton']"
2372,72.41451725468085,59.76035842543117,4,128,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2373,72.42490265344559,59.5649829800018,10,64,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2374,72.43405535473602,59.77376409682539,11,128,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2375,72.43858846948693,59.75621762471757,10,96,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2376,72.44352478480965,59.714187193445966,9,64,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2377,72.46545018953049,59.68674828207099,11,64,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2378,72.46955899521727,59.586919683983325,11,128,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2379,72.47242562587068,59.55490330072127,11,64,NO2,"['Maize', 'Soybean', 'Cotton']"
2380,72.49523768948617,59.565901142981716,11,96,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2381,72.52577179919389,59.735104735850214,5,64,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2382,72.53279704415787,59.73118982305159,5,64,NO2,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2383,72.53750175652662,59.71867728708989,11,96,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
