Date,place,fireCount
2018-11-01,Jagtial,0.0
2018-11-02,Jagtial,0.0
2018-11-03,Jagtial,0.0
2018-11-04,Jagtial,0.0
2018-11-05,Jagtial,0.0
2018-11-06,Jagtial,0.0
2018-11-07,Jagtial,1.0
2018-11-08,Jagtial,1.0
2018-11-09,Jagtial,0.0
2018-11-10,Jagtial,0.0
2018-11-11,Jagtial,0.0
2018-11-12,Jagtial,0.0
2018-11-13,Jagtial,3.0
2018-11-14,Jagtial,0.0
2018-11-15,Jagtial,1.0
2018-11-16,Jagtial,0.0
2018-11-17,Jagtial,1.0
2018-11-18,Jagtial,0.0
2018-11-19,Jagtial,2.0
2018-11-20,Jagtial,0.0
2018-11-21,Jagtial,0.0
2018-11-22,Jagtial,0.0
2018-11-23,Jagtial,4.0
2018-11-24,Jagtial,10.0
2018-11-25,Jagtial,7.0
2018-11-26,Jagtial,1.0
2018-11-27,Jagtial,2.0
2018-11-28,Jagtial,2.0
2018-11-29,Jagtial,14.0
2018-11-30,Jagtial,0.0
2018-12-01,Jagtial,1.0
2018-12-02,Jagtial,0.0
2018-12-03,Jagtial,1.0
2018-12-04,Jagtial,6.0
2018-12-05,Jagtial,1.0
2018-12-06,Jagtial,0.0
2018-12-07,Jagtial,0.0
2018-12-08,Jagtial,0.0
2018-12-09,Jagtial,3.0
2018-12-10,Jagtial,0.0
2018-12-11,Jagtial,0.0
2018-12-12,Jagtial,0.0
2018-12-13,Jagtial,0.0
2018-12-14,Jagtial,0.0
2018-12-15,Jagtial,13.0
2018-12-16,Jagtial,3.0
2018-12-17,Jagtial,0.0
2018-12-18,Jagtial,0.0
2018-12-19,Jagtial,0.0
2018-12-20,Jagtial,4.0
2018-12-21,Jagtial,8.0
2018-12-22,Jagtial,2.0
2018-12-23,Jagtial,1.0
2018-12-24,Jagtial,3.0
2018-12-25,Jagtial,4.0
2018-12-26,Jagtial,1.0
2018-12-27,Jagtial,2.0
2018-12-28,Jagtial,1.0
2018-12-29,Jagtial,0.0
2018-12-30,Jagtial,2.0
2018-12-31,Jagtial,3.0
2019-01-01,Jagtial,5.0
2019-01-02,Jagtial,1.0
2019-01-03,Jagtial,0.0
2019-01-04,Jagtial,0.0
2019-01-05,Jagtial,1.0
2019-01-06,Jagtial,0.0
2019-01-07,Jagtial,1.0
2019-01-08,Jagtial,0.0
2019-01-09,Jagtial,1.0
2019-01-10,Jagtial,3.0
2019-01-11,Jagtial,0.0
2019-01-12,Jagtial,0.0
